2025-09-23 08:15:13|SKYT|Unterseher Loren A|S|13.58|-240000
2025-09-22 21:24:41|PLSE|Danahy Kevin Patrick|S|18.49|-20400
2025-09-22 21:04:47|STRR|Eberwein Jeffrey E.|P|11.45|15642
2025-09-22 20:49:12|CECO|Gleason Todd R|S|50.35|-300000
2025-09-22 20:46:49|NVDA|Jones Harvey C|S|176.22|-250000
2025-09-22 20:36:56|COCO|Roper Martin|S|40.01|-20000
2025-09-22 20:16:38|CRWV|Magnetar Financial LLC|S|120.62|-176512
2025-09-22 20:13:56|CRWV|Magnetar Financial LLC|S|120.62|-1059358
2025-09-22 20:07:18|PLTR|Stat Lauren Elaina Friedman|S|177.6|-9000
2025-09-22 19:44:36|ZIP|Siegel Ian H.|S|5.23|-42206
2025-09-22 19:32:55|GWRE|Cooper Jeffrey Elliott|S|248.76|-7535
2025-09-22 19:32:49|GWRE|King James Winston|S|248.82|-7162
2025-09-22 19:24:45|GWRE|Peterson David Franklin|S|249.86|-1000
2025-09-22 19:18:23|ERII|Yeung William|S|15.09|-15454
2025-09-22 19:03:22|AVPT|Ho John Chi On|S|15.21|-650000
2025-09-22 19:02:45|AVPT|Gong Xunkai|S|15.21|-2068966
2025-09-22 19:02:03|AVPT|Jiang Tianyi|S|15.21|-2068966
2025-09-22 19:01:22|AVPT|Caci James|S|15.21|-216000
2025-09-22 19:00:11|AVPT|Brown Brian Michael|S|15.21|-500000
2025-09-22 18:32:03|PAHC|Bendheim Jack|S|40.26|-7022
2025-09-22 18:12:06|LASR|Keeney Scott H|S|30.99|-62507
2025-09-22 18:07:31|WBI|Crane James R|P|20|300000
2025-09-22 18:05:30|WBI|Daily Gregory S|P|20|75000
2025-09-22 17:46:35|GLIBK|Malone John C|P|34.97|10270
2025-09-22 17:44:10|WLDN|Chen Micah|S|106|-10000
2025-09-22 17:42:01|WLDN|McGinn Dennis V|S|106.32|-7298
2025-09-22 17:41:31|ABNB|Balogh Aristotle N|S|123.74|-600
2025-09-22 17:39:50|PX|Poston Edwin A.|S|12.13|-107976
2025-09-22 17:34:10|BRZE|Malik Pankaj|S|32.77|-4174
2025-09-22 17:31:33|MU|Mehrotra Sanjay|S|162.84|-15000
2025-09-22 17:22:31|DBD|Millstreet Capital Management LLC|S|60.08|-38963
2025-09-22 17:21:38|PTON|Sanders Dion C.|S|8.05|-110753
2025-09-22 17:19:18|VST|Burke James A|S|212.34|-42726
2025-09-22 17:19:01|PTON|Cotter Jennifer Cunningham|S|8.05|-110235
2025-09-22 17:16:26|AEO|Keefer James H Jr|S|19.75|-12337
2025-09-22 17:15:35|CIFR|V3 Holding Ltd|S|12.34|-2700000
2025-09-22 17:12:13|COUR|Meyers Michele M|S|11.31|-3500
2025-09-22 17:06:17|OKTA|Kelleher Eric Robert|S|92.62|-8522
2025-09-22 17:04:45|OKTA|Addison Jonathan James|S|92.61|-6091
2025-09-22 16:51:19|ORA|Ginzburg Assi|S|93.31|-9343
2025-09-22 16:48:07|MTSI|Ocampo Susan|S|133.09|-150000
2025-09-22 16:47:25|CRDO|Tan Lip Bu|S|175.12|-20000
2025-09-22 16:45:49|WMT|Furner John R.|S|103.74|-13125
2025-09-22 16:34:40|UPWK|Gessert Erica|S|19.16|-8730
2025-09-22 16:33:59|UPWK|Bottoms Dave|S|19.55|-20908
2025-09-22 16:32:07|RBLX|Kaufman Matthew D|S|136.55|-6000
2025-09-22 16:31:55|MTZ|Apple Robert E|S|200.44|-10000
2025-09-22 16:30:26|TH|Schrenk Troy C.|S|8.58|-49344
2025-09-22 16:30:04|SARO|Trapp Alex|S|28.05|-76591
